filename,gender,person_id,gaze,direction,speed,race
f_1_EC_left_2.avi,f,1,EC,left,2,white
f_1_EC_left_3.avi,f,1,EC,left,3,white
f_1_EC_left_4.avi,f,1,EC,left,4,white
f_1_EC_right_2.avi,f,1,EC,right,2,white
f_1_EC_right_3.avi,f,1,EC,right,3,white
f_1_EC_right_4.avi,f,1,EC,right,4,white
f_1_NC_left_2.avi,f,1,NC,left,2,white
f_1_NC_left_3.avi,f,1,NC,left,3,white
f_1_NC_left_4.avi,f,1,NC,left,4,white
f_1_NC_right_2.avi,f,1,NC,right,2,white
f_1_NC_right_3.avi,f,1,NC,right,3,white
f_1_NC_right_4.avi,f,1,NC,right,4,white
f_2_EC_left_2.avi,f,2,EC,left,2,white
f_2_EC_left_3.avi,f,2,EC,left,3,white
f_2_EC_left_4.avi,f,2,EC,left,4,white
f_2_EC_right_2.avi,f,2,EC,right,2,white
f_2_EC_right_3.avi,f,2,EC,right,3,white
f_2_EC_right_4.avi,f,2,EC,right,4,white
f_2_NC_left_2.avi,f,2,NC,left,2,white
f_2_NC_left_3.avi,f,2,NC,left,3,white
f_2_NC_left_4.avi,f,2,NC,left,4,white
f_2_NC_right_2.avi,f,2,NC,right,2,white
f_2_NC_right_3.avi,f,2,NC,right,3,white
f_2_NC_right_4.avi,f,2,NC,right,4,white
f_3_EC_left_2.avi,f,3,EC,left,2,white
f_3_EC_left_3.avi,f,3,EC,left,3,white
f_3_EC_left_4.avi,f,3,EC,left,4,white
f_3_EC_right_2.avi,f,3,EC,right,2,white
f_3_EC_right_3.avi,f,3,EC,right,3,white
f_3_EC_right_4.avi,f,3,EC,right,4,white
f_3_NC_left_2.avi,f,3,NC,left,2,white
f_3_NC_left_3.avi,f,3,NC,left,3,white
f_3_NC_left_4.avi,f,3,NC,left,4,white
f_3_NC_right_2.avi,f,3,NC,right,2,white
f_3_NC_right_3.avi,f,3,NC,right,3,white
f_3_NC_right_4.avi,f,3,NC,right,4,white
f_4_EC_left_2.avi,f,4,EC,left,2,white
f_4_EC_left_3.avi,f,4,EC,left,3,white
f_4_EC_left_4.avi,f,4,EC,left,4,white
f_4_EC_right_2.avi,f,4,EC,right,2,white
f_4_EC_right_3.avi,f,4,EC,right,3,white
f_4_EC_right_4.avi,f,4,EC,right,4,white
f_4_NC_left_2.avi,f,4,NC,left,2,white
f_4_NC_left_3.avi,f,4,NC,left,3,white
f_4_NC_left_4.avi,f,4,NC,left,4,white
f_4_NC_right_2.avi,f,4,NC,right,2,white
f_4_NC_right_3.avi,f,4,NC,right,3,white
f_4_NC_right_4.avi,f,4,NC,right,4,white
f_5_EC_left_2.avi,f,5,EC,left,2,black
f_5_EC_left_3.avi,f,5,EC,left,3,black
f_5_EC_left_4.avi,f,5,EC,left,4,black
f_5_EC_right_2.avi,f,5,EC,right,2,black
f_5_EC_right_3.avi,f,5,EC,right,3,black
f_5_EC_right_4.avi,f,5,EC,right,4,black
f_5_NC_left_2.avi,f,5,NC,left,2,black
f_5_NC_left_3.avi,f,5,NC,left,3,black
f_5_NC_left_4.avi,f,5,NC,left,4,black
f_5_NC_right_2.avi,f,5,NC,right,2,black
f_5_NC_right_3.avi,f,5,NC,right,3,black
f_5_NC_right_4.avi,f,5,NC,right,4,black
f_6_EC_left_2.avi,f,6,EC,left,2,black
f_6_EC_left_3.avi,f,6,EC,left,3,black
f_6_EC_left_4.avi,f,6,EC,left,4,black
f_6_EC_right_2.avi,f,6,EC,right,2,black
f_6_EC_right_3.avi,f,6,EC,right,3,black
f_6_EC_right_4.avi,f,6,EC,right,4,black
f_6_NC_left_2.avi,f,6,NC,left,2,black
f_6_NC_left_3.avi,f,6,NC,left,3,black
f_6_NC_left_4.avi,f,6,NC,left,4,black
f_6_NC_right_2.avi,f,6,NC,right,2,black
f_6_NC_right_3.avi,f,6,NC,right,3,black
f_6_NC_right_4.avi,f,6,NC,right,4,black
f_7_EC_left_2.avi,f,7,EC,left,2,black
f_7_EC_left_3.avi,f,7,EC,left,3,black
f_7_EC_left_4.avi,f,7,EC,left,4,black
f_7_EC_right_2.avi,f,7,EC,right,2,black
f_7_EC_right_3.avi,f,7,EC,right,3,black
f_7_EC_right_4.avi,f,7,EC,right,4,black
f_7_NC_left_2.avi,f,7,NC,left,2,black
f_7_NC_left_3.avi,f,7,NC,left,3,black
f_7_NC_left_4.avi,f,7,NC,left,4,black
f_7_NC_right_2.avi,f,7,NC,right,2,black
f_7_NC_right_3.avi,f,7,NC,right,3,black
f_7_NC_right_4.avi,f,7,NC,right,4,black
f_8_EC_left_2.avi,f,8,EC,left,2,black
f_8_EC_left_3.avi,f,8,EC,left,3,black
f_8_EC_left_4.avi,f,8,EC,left,4,black
f_8_EC_right_2.avi,f,8,EC,right,2,black
f_8_EC_right_3.avi,f,8,EC,right,3,black
f_8_EC_right_4.avi,f,8,EC,right,4,black
f_8_NC_left_2.avi,f,8,NC,left,2,black
f_8_NC_left_3.avi,f,8,NC,left,3,black
f_8_NC_left_4.avi,f,8,NC,left,4,black
f_8_NC_right_2.avi,f,8,NC,right,2,black
f_8_NC_right_3.avi,f,8,NC,right,3,black
